Alt+A                               Open font settings
Alt+F                               Filter/Highlight on/off
Alt+T                               Always on top on/off
Ctrl+Alt+B                          Bookmark overview
Ctrl+Alt+F                          Find what result
Ctrl+Alt+M                          Minimize mainwindow
Ctrl+Alt+O                          Open Windows event window
Ctrl+Alt+T                          Show extended toolbar in Splitview
Ctrl+C                              Copy line in TextEditor
Ctrl+E                              Clear TextEditor window
Ctrl+F                              Find what
Ctrl+G                              Go To Line
Ctrl+M                              Open TailManager
Ctrl+N                              Quick add
Ctrl+O                              Open file
Ctrl+Q                              Focus quick search
Ctrl+R                              Start tail
Ctrl+S                              Quick save
Ctrl+Shift+F                        Open Filter/Highlight Manager
Ctrl+T                              New tab window
Ctrl+U                              Stop tail
Ctrl+W                              Close tab window
F1                                  Open Tail4Windows Wiki page
F3                                  Searching forward
MiddleMouse button over TabHeader   Close tab window
MiddleMouse button over TailWindow  New tab window
